id,name,description,course_id
4344,"Four basic operators and their properties","This lesson focuses on Four basic operators and their properties",557
4345,"Four basic operators and their properties","This lesson focuses on Four basic operators and their properties",557
4354,"Sets: Basics and Notation","This lesson focuses on Sets: Basics and Notation",559
4355,"Sets - Basics and Notation","This lesson focuses on sets: subsets, universal sets, complements, unions, intersections, and types of sets.",559
4356,"Venn Diagrams and Relationship between Sets","This lesson focuses on Venn Diagrams and Relationship between Sets",559
4357,"Venn Diagrams and Relationship between Sets","This lesson focuses on Venn Diagrams and relationships between Sets",559
4358,"Perimeter and Area of Polygons","This lesson focuses on Perimeter and Area of Polygons",560
4359,"Perimeter and Area of Polygons","This lesson focuses on Perimeter and Area of Polygons",560
4360,"Maps and Scale","This lesson focuses on Maps and Scale",560
4361,"Estimating Errors","This lesson focuses on Estimating Errors",560
4362,"Maps and Scale","This lesson focuses on Maps and Scale",560
4363,"Advanced Perimeter and Area","This lesson focuses on Advanced Perimeter and Area",560
4364,"Advanced Perimeter and Area","This lesson focuses on Advanced Perimeter and Area",560
4365,"Volume and Surface Area","This lesson focuses on Volume and Surface Area",560
4366,"Volume and Surface Area","This lesson focuses on Volume and Surface Area",560
4368,"Conversion of Units involving Area, Volume and Time","This lesson focuses on Conversion of Units involving Area, Volume and Time",560
4369,"Conversion of Units involving Area, Volume and Time","This lesson focuses on Conversion of Units involving Area, Volume and Time",560
4372,"Advanced Volume and Surface Area",,560
4373,"Estimating Errors","This lesson focuses on Estimating Errors",560
4367,"Grouped and Ungrouped Statistics","This lesson focuses on Grouped and Ungrouped Statistics",561
4370,"Grouped and Ungrouped Statistics","This lesson focuses on Grouped and Ungrouped Statistics",561
4371,"Measure of Central Tendency","This lesson focuses on Measure of Central Tendency",561
4374,"Measure of Central Tendency","This lesson focuses on Measure of Central Tendency",561
4375,Probability,"This lesson focuses on Probability",561
4376,Probability,"This lesson focuses on Probability",561
4377,"Cumulative Frequency Curves","This lesson focuses on Cumulative Frequency Curves",561
4378,"Cumulative Frequency Curves","This lesson focuses on Cumulative Frequency Curves",561
4386,"Introduction to Plotting Graphs","This lesson focuses on Introduction to Plotting Graphs",563
4388,"Introduction to Plotting Graphs","This lesson focuses on Introduction to Plotting Graphs",563
4389,"Graphing Equations","This lesson focuses on Graphing Equations",563
4391,"Graphing Equations","This lesson focuses on Graphing Equations",563
4411,"Introduction to Gradient and Intercept","This lesson focuses on Introduction to Gradient and Intercept",565
4412,"Introduction to Gradient and Intercept","This lesson introduces key concepts in linear relationships: the gradient (slope) and intercept of a line.",565
4413,"Finding the Equation of a Line","This lesson focuses on Finding the Equation of a Line",565
4414,"Finding the Equation of a Line","This lesson guides students through the process of finding the equation of a line using coordinate geometry.",565
4415,"The Length and Midpoint of a Line","This lesson focuses on The Length and Midpoint of a Line",565
4416,"The Length and Midpoint of a Line","This lesson focuses on The Length and Midpoint of a Line",565
4417,"Introduction to Functions","This lesson focuses on Introduction to Functions",566
4418,"Introduction to Functions","This lesson introduces students to the concept of functions and relations in mathematics.",566
4419,"Composite Functions","This lesson focuses on Composite Functions",566
4420,"Composite Functions","This lesson focuses on Composite Functions",566
4421,"Inverse Functions","This lesson focuses on Inverse Functions",566
4423,"Inverse Functions","This lesson focuses on Inverse Functions",566
4422,"Graphing Quadratic Inequalities",,567
4424,"Graphing Quadratic Functions","This lesson focuses on Graphing Quadratic Inequalities",567
4425,"Graphing Quadratic Functions","This lesson focuses on Graphing Quadratic Functions",567
4426,"Graphing Quadratic Inequalities","This lesson focuses on Graphing Quadratic Inequalities",567
4427,"Graphing Quadratic Equations","This lesson focuses on Graphing Quadratic Equations",567
4428,"Graphing Quadratic Equations","This lesson focuses on Graphing Quadratic Equations",567
4429,"Completing the Square","This lesson focuses on Completing the Square",567
4430,"Completing the Square","This lesson focuses on Completing the Square",567
4434,"Graphical Solution to Linear and Quadratic Simultaneous Equations","This lesson focuses on Graphical Solution to Linear and Quadratic Simultaneous Equations",567
4436,"Graphical Solutions to Linear and Quadratic Simultaneous Equations","This lesson focuses on Graphical Solutions to Linear and Quadratic Simultaneous Equations",567
4431,"Geometry Basics: Angles and Lines","This lesson focuses on Geometry Basics: Angles and Lines",568
4432,"Types of Angles and Triangle Properties","This lesson focuses on Types of Angles and Triangle Properties",568
4433,"Advance Volume and Surface Area","This lesson focuses on Advance Volume and Surface Area",568
4435,"Circle Theorem","This lesson focuses on Circle Theorem",568
4437,"Geometrical Construction","This lesson focuses on Geometrical Construction",568
4438,"Geometrical Construction","This lesson focuses on Geometrical Construction",568
4439,"Geometry Basics - Angles and Lines","This lesson focuses on Geometry Basics - Angles and Lines",568
4440,Congruency,"This lesson focuses on Congruency",568
4441,"Types of Angles and Triangle Properties","This lesson focuses on Types of Angles and Triangle Properties",568
4442,Polygons,"This lesson focuses on Polygons",568
4443,Congruency,"This lesson focuses on Congruency",568
4444,"Advance Volume and Surface Area","This lesson focuses on Advance Volume and Surface Area",568
4445,Polygons,"This lesson focuses on Polygons",568
4448,"Circle Theorem","This lesson focuses on Circle Theorem",568
4446,"Pythagoras' Theorem","This lesson focuses on Pythagoras' Theorem",569
4447,"Trigonometric Ratios","This lesson focuses on Trigonometric Ratios",569
4449,Bearings,"This lesson focuses on Bearings",569
4450,"3-D Trigonometry","This lesson focuses on 3-D Trigonometry",569
4451,"Pythagoras' Theorem","This lesson focuses on Pythagoras' Theorem",569
4452,"Angles of Elevation and Depression","This lesson focuses on Angles of Elevation and Depression",569
4453,"Trigonometric Ratios","This lesson focuses on Trigonometric Ratios",569
4454,"Cosine and Sine Rule","This lesson focuses on Cosine and Sine Rule",569
4455,"Angles of Elevation and Depression","This lesson focuses on Angles of Elevation and Depression",569
4456,Bearings,"This lesson focuses on Bearings",569
4457,"Cosine and Sine Rule","This lesson focuses on Cosine and Sine Rule",569
4459,"3-D Trigonometry","This lesson focuses on 3-D Trigonometry",569
4458,"Vectors Advanced transfer","<p>This lesson focuses on Vectors Advanced</p>",570
4460,"Introduction to Matrices","This lesson focuses on Introduction to Matrices",570
4461,"Matrices Advanced","This lesson focuses on Matrices Advanced",570
4462,"Introduction to Matrices","This lesson focuses on Introduction to Matrices",570
4463,"Matrices Advanced","This lesson focuses on Matrices Advanced",570
4464,"Introduction to Vectors","This lesson focuses on Introduction to Vectors",570
4465,"Introduction to Vectors","This lesson focuses on Introduction to Vectors",570
4468,"Vectors Advanced","This lesson focuses on Vectors Advanced",570
4470,"Vectors Advanced","This lesson focuses on Vectors Advanced",570
4466,,,571
4467,"Transformation Geometry Part 1 Tansform","<p>This lesson focuses on Transformation Geometry Part 1</p>",571
4469,"Transformation Geometry Part I","This lesson focuses on Transformation Geometry Part I",571
4471,"Transformation Geometry Part I","This lesson focuses on Transformation Geometry Part 1",571
4472,"Transformation Geometry Part II","This lesson focuses on Transformation Geometry Part II",571
4473,"Transformation Geometry Part II","This lesson focuses on Transformation Geometry Part II",571
4478,"Profit, Loss, Mark up, Discount, Cost and Selling Price","This lesson focuses on Profit, Loss, Mark up, Discount, Cost and Selling Price",574
4479,"Profit, Loss, Mark up, Discount, Cost and Selling Price","This lesson focuses on Profit, Loss, Mark up, Discount, Cost and Selling Price",574
4480,"Other topics in Consumer Arithmetic","This lesson focuses on other topics in Consumer Arithmetic",574
4481,"Simple, Compound, Appreciation and Depreciation","This lesson focuses on Simple, Compound, Appreciation and Depreciation",574
4482,"Simple, Compound, Appreciation and Depreciation","This lesson focuses on Simple, Compound, Appreciation and Depreciation",574
4483,"Hire Purchase","This lesson focuses on Hire Purchase",574
4484,"Hire Purchase","This lesson focuses on Hire Purchase",574
4485,"Currency Conversion","This lesson focuses on Currency Conversion",574
4486,"Profit, Loss, Mark up, Discount, Cost and Selling Price new","This lesson focuses on Profit, Loss, Mark up, Discount, Cost and Selling Price new",574
4487,"Currency Conversion","This lesson focuses on Currency Conversion",574
4488,"Other topics in Consumer Arithmetic","This lesson focuses on Other topics in Consumer Arithmetic",574
4532,"Graphing Linear Inequalities","This lesson focuses on Graphing Linear Inequalities",580
4533,"Graphing Linear Inequalities","This lesson focuses on Graphing Linear Inequalities",580
